1,2,3,4,p
0,0,1,3,3
0,19,2,1,1
2,0,2,0,1
196,0,3,0,0
1,0,13,0,0
6,4,3,94,0
9,3,0,0,0
1,72,143,0,1
17,0,0,0,38
0,1,121,2,0
0,20,3,181,0
0,0,1,0,1
2,0,0,9,10
3,3,7,3,0
1132,7,2,4,11
1,9,2,1,0
2,0,0,0,2
1,26,0,1,3
9,0,1,23,8
0,4,25,0,2
3,24,1,0,1
1,2,5,68,92
2,1,0,13,0
4,0,0,1,0
35,20,2,0,0
0,0,0,6,12
0,42,5,0,1
0,13,0,1,3
1,0,7,1,0
0,0,1,0,0
0,441,90,6,6
69,9,7,41,1
0,1,1,1,0
5,1,7,0,10
0,0,0,1,56
0,0,8,0,1
0,9,0,4,1
2,1,1,0,1
3,523,0,17,0
9,0,6,17,0
3,0,1,1,1
1,0,11,0,3
3,0,13,0,0
0,1,1,24,3
0,0,0,2,4
0,2,0,172,2
0,2,3,9,0
2,1,0,1,0
3,1,0,1,0
1,15,0,1,1
0,5,3,0,2
3,14,0,0,1
2,1,0,0,1
12,2,0,6,10
0,2,1,7,0
71,2,1,2,0
5,10,0,0,14
1,0,0,21,3908
0,5,7,17,0
6,1,1,928,0
1,4,3,79,2
3,2,11,3,0
0,0,1,0,1
17,0,5,2,0
3,9,3,3,18
0,2,1,9,0
3,4,2,3,2
1,3,0,3,1
2,0,1,4,0
4,5,1,1,0
2,0,3,2,3
0,55,3,0,167
0,0,0,0,1
5,11,2,0,42
0,0,156,0,7
0,0,20,2,8
8,0,0,1,6
16,0,2,0,8
4,0,0,1,0
0,0,6,0,13
0,0,0,5,0
33,3,2,1,0
0,1,0,2,21
1,3,12,0,3
28,2,0,0,11
0,8,9,2,6
0,2,10,4,3
0,5,1,3,1
2,0,2,0,0
1,1,0,4,0
0,4,1,10,0
0,2,1,2,3
7,25,4,14,0
2,1,20,1,1
0,3,0,0,0
3,1,1,0,0
7,3,0,0,0
0,4,1,2,0
0,24,14,17,15
3,1,3,0,8
0,14,6,0,11
5,21,2,12,0
1,58,1,4,0
0,1,0,2,13
6,24,2,0,0
1,4,0,0,0
2,2,0,20,4
3,1,15,81,18
1,2,3,1,6
0,5,195,0,0
1,0,21,2,0
0,0,1,2,5
4,4,0,0,1
155,0,4,1,0
0,0,8,0,18
1,6,0,1,632
0,0,1,4,1
0,0,0,1,0
8,112,6,5,2
1,1,3,1075,0
0,0,2,1,1
0,0,2,1,1
0,0,7,1,0
1,1,3,10,48
5,17,6,1,5
1,1,1,3,0
120,2,9,0,2
1,4,2,0,89
2,2,3,0,1
2,1,0,0,2
0,0,0,1,5
16,2,0,0,0
1,5,55,1,1
1,2,18,22,3
1,9,5,1,79
0,2,14,2,1
8,0,0,3,1
0,4,7,1,0
8,10,0,1,0
0,0,5,2,2
0,0,5,0,0
0,3,0,0,67
1,1,1,0,0
89,3,2,0,0
300,81,29,124,3
449,0,0,4,2
1,3,0,5,0
0,40,0,0,3
0,14,29,2,9
0,1,5,0,0
1,1,0,3,38
10,10,18,3,2
89,1,1,5,3
2,40,0,0,1
0,12,2,2,1
0,0,0,0,0
0,1,6,0,53
0,289,8,3,2
0,3,0,4,1
0,24,0,2,0
0,0,0,0,1
3,3,0,211,7
2,0,8,0,2
7,4,2,0,8
8,0,2,0,2
1,0,2,0,2
0,0,1,6,0
0,0,1,0,0
5,0,2,0,0
0,2,0,2,1
7,0,1,0,3
0,3,1,1,0
1,2,17,1,18
6,12,1,1,0
0,3,1,0,0
0,0,0,19,1
2,0,12,0,2
5,0,33,0,6
1,6,1,0,3
0,3,4,36,28
1,1,2,2,0
4,114,8,21,0
2,0,1,1,1
10,1,1,1,0
2,2,2,17,1
2,2,4,1,24
1,0,0,6,4
0,1,0,0,0
5,0,2,1,10
0,17,3,0,3
1,1,5,7,3
0,3,0,2,13
0,53,4,0,1
2,2,1,3,5
3,0,2,5,19
1,16,154,0,5
0,0,0,13,3
0,0,0,0,0
0,0,0,0,40
0,1,12,0,92
10,1,0,4,4
3,1,1,0,4
0,37,0,0,11
2,0,3,0,3
4,1,0,2,1
1,2,0,0,0
30,0,160,2,0
3,3,2,0,1
0,0,723,0,0
72,133,0,2,0
1,3,7,0,1
1,1,1,1,16
0,31,4,4,3
0,0,0,3,373
25,5,0,2,0
3,0,1,0,0
2,0,0,6,0
0,0,31,0,0
2,2,0,3,9
1,1,0,4,1
0,0,1,59,2
353,1,0,0,4
9,2,0,0,0
0,2,4,2,4
1,0,0,1,2
1,0,5,0,8
4,2,0,1,4
0,2,34,0,0
0,0,15,1,22
8,2,0,3,0
6,0,0,0,3
0,134,11,0,0
1,41,0,0,6
0,12,1,96,0
4,2,0,0,0
0,0,76,1,4
0,1,2,8,1
13,0,0,2,106
0,0,5,0,2
0,0,5,1,0
0,0,1,1,0
0,0,32,0,3
0,8,0,1,0
0,2,1,5,0
0,0,3,0,5
3,2,0,2,0
4,0,5,5,2
0,9,3,0,2
0,0,7,1,6
0,2,0,1,192
7,2,116,0,0
1,1,0,6,1
3,13,11,57,1
6,0,21,4,4294
287,0,0,9,3
2,0,3,0,17
0,0,0,6,1
3,15,3,6,0
0,0,0,40,2
2,0,7,0,3
15,12,0,11,1
13,1,1,0,5
16,14,6,0,5
1,13,1,2,10
14,1,5,13,0
3,0,0,0,1
0,1,1,11,1
0,2,0,0,0
0,1,20,0,4
0,0,0,1,3
1,6,0,4,0
0,1,0,19,4
3,0,35,0,0
2,0,17,0,2
0,1,2,0,0
35,1,0,0,0
70,0,0,0,13
3,2,0,0,1
1,2,30,15,1
0,0,0,0,2
1,2,12,0,0
0,1,0,17,1
0,0,1,0,15
5,2,1,0,0
1,4,7,0,0
3,0,5,3,0
0,0,1,0,44
1,137,0,0,0
1,0,5,0,1
2,1,1,3,4
0,31,0,1,0
1,1,0,9,0
1,0,0,0,1
0,0,84,0,0
11,2,0,17,1
2,30,2,0,3
0,1,4,5,0
0,33,0,2,8
3,28,3,0,2
1,2,1,3,1
14,0,5,1,2
1,0,0,1,2
3,32,0,0,18
54,6,0,0,5
0,4,0,8,0
4,0,0,16,4
0,7,2,10,0
7,1,0,11,1
7,0,0,3,1
0,0,16,1,0
0,5,2,0,0
25,1,4,0,1
1,28,0,6,0
17,41,16,25,0
0,12,6,7,0
2,0,0,0,1
0,3,0,0,2
41228,0,0,4,0
10,0,0,59,4
0,0,0,1,3
0,1,0,87,13
6,0,0,1,1
0,0,0,0,3
1,0,1,7,0
