1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
1,1,5,0,1,8,3,0,11,1,7,2,7,1,1,0,27,0,8,0,7,12
5,0,0,1,0,2,0,3,0,2,0,0,1,1,4,2,6,0,1,0,40,1
2,0,28,0,0,0,13,0,0,1,7,7,1,2,0,2,0,1,14,5,0,0
2,2,8,2,2,1,1,2,2,1,0,4,0,4,1,1,3,2,1,1,0,1
0,0,0,0,0,8,11,0,1,3,1,3,0,0,0,5,2,10,0,5,0,1
0,3,3,5,1,1,0,0,0,0,0,16,3,0,5,1,2,5,0,9,2,0
0,5,4,1,1,1,0,1,1,2,2,4,1,3,0,6,0,0,22,4,9,2
1,0,0,1,8,1,1,0,0,0,4,2,1,2,4,0,0,1,2,0,0,0
1,1,1,0,1,0,1,3,5,4,5,0,3,2,0,16,8,1,3,11,5,0
0,1,9,0,1,0,5,0,0,1,5,0,0,2,0,5,0,3,11,0,4,7
1,0,0,1,3,0,1,0,9,2,0,9,19,10,7,0,0,1,1,2,4,1
1,10,3,12,0,3,0,9,1,4,13,1,0,1,3,4,7,0,0,0,1,2
5,0,5,0,0,1,0,0,2,0,5,29,1,0,25,1,1,2,1,0,8,0
0,0,1,10,1,6,2,8,1,1,0,4,0,5,0,7,3,3,0,0,2,21
1,2,5,0,1,0,0,0,0,3,1,1,3,1,1,1,1,0,0,95,15,1
1,1,6,2,1,2,0,4,0,2,5,1,0,0,8,0,4,1,2,1,0,6
1,0,14,0,0,1,1,18,2,1,3,0,7,9,1,3,6,3,1,9,2,0
3,2,1,0,3,1,0,0,0,17,4,1,1,0,0,2,8,0,0,4,0,18
1,0,0,1,0,1,1,8,2,1,4,0,0,1,0,3,2,5,1,114,0,5
1,1,0,0,21,0,0,1,7,0,0,0,6,0,1,0,0,0,0,191,3,0
3,1,2,0,0,0,4,2,2,0,2,0,4,0,0,2,1,3,19,5,0,0
0,2,1,0,0,0,0,0,3,1,1,0,2,2,2,2,8,1,2,3,0,0
0,0,12,6,1,4,8,1,2,2,1,1,0,3,1,1,1,2,2,1,1,0
1,1,0,0,0,0,7,0,3,3,1,0,1,2,1,3,0,3,0,0,1,2
2,6,3,0,4,1,5,0,0,0,0,0,5,1,0,2,0,0,1,1,1,1
9,6,0,4,0,2,5,0,5,0,1,4,0,2,0,2,3,0,0,0,4,3
3,0,1,0,0,4,0,4,0,16,0,2,0,25,5,5,11,2,0,0,0,1
0,3,2,45,1,0,3,3,1,1,0,2,0,8,3,1,7,2,0,1,11,2
1,0,0,2,2,3,0,1,1,1,1,2,19,5,8,0,0,4,1,1,4,5
4,4,2,0,0,4,2,1,1,4,1,0,3,1,2,0,2,1,0,0,0,3
16,22,1,8,6,5,1,1,2,9,24,3,2,0,1,1,1,0,2,1,5,0
0,0,9,4,28,3,5,2,0,1,2,0,1,2,3,1,0,1,2,3,1,1
4,0,0,0,71,8,16,0,2,0,2,3,0,0,0,0,2,1,0,0,9,2
2,4,1,0,1,0,8,0,4,0,5,1,2,4,2,0,1,0,1,1,3,0
3,3,1,0,0,6,28,2,0,2,2,5,1,0,0,20,0,67,3,0,1,0
3,1,0,5,120,1,0,3,1,3,1,0,4,0,0,2,0,0,0,3,2,10
2,1,0,7,5,4,3,3,1,1,0,0,0,2,4,0,0,0,2,6,0,12
2,1,4,7,2,3,1,0,10,0,0,20,0,2,6,21,0,0,8,8,3,0
2,5,1,1,0,506,0,2,0,0,1,4,0,0,1,1,0,0,0,0,2,11
2,1,1,2,29,4,0,0,0,0,5,7,248,0,0,1,3,0,0,0,0,0
2,9,1,1,0,5,1,0,14,1,7,7,5,0,0,35,7,0,3,2,1,8
0,27,1,0,3,2,0,0,55,0,1,1,0,0,2,4,8,2,1,0,1,3
0,0,0,0,6,0,2,2,1,2,0,5,10,5,0,3,1,0,3,5,0,0
4,2,0,0,0,1,6,0,0,1,2,41,3,4,3,2,0,1,3,2,0,0
31,3,1,0,1,8,3,1,1,0,12,0,2,1,3,0,0,6,4,16,6,3
1,2,2,1,2,12,0,0,1,0,1,1,2,0,2,1,2,0,11,1,0,3
1,3,4,2,12,0,0,21,0,1,6,26,2,14,0,0,0,1,3,0,8,14
1,1,2,1,0,0,2,0,0,1,4,0,2,1,3,0,3,1,0,2,0,1
1,2,13,0,2,2,10,5,1,1,4,1,0,1,3,0,0,1,0,19,0,0
0,1,0,2,1,2,1,1,23,2,9,0,0,1,4,13,1,0,1,2,0,2
0,0,0,4,0,4,0,2,2,1,8,12,4,1,11,0,1,0,3,1,10,11
6,0,0,2,0,2,3,0,1,0,0,1,3,0,2,2,0,3,1,7,3,0
0,1,0,0,1,0,1,0,0,0,27,2,0,5,1,5,1,1,0,0,1,0
7,1,7,2,25,1,4,107,7,9,0,1,1,2,2,4,0,2,5,4,2,0
1,3,26,2,0,0,15,4,2,2,5,1,0,0,6,2,0,0,0,0,1,5
1,0,4,4,2,11,0,5,0,0,2,3,12,3,1,2,1,1,1,2,4,8
0,0,1,4,0,7,0,4,35,3,1,0,3,0,2,21,1,5,10,1,0,1
14,2,4,0,2,1,1,0,0,4,0,2,0,2,3,0,1,0,8,0,1,2
0,0,1,1,0,1,2,0,5,5,0,0,0,1,9,2,0,0,3,0,0,2
15,0,1,5,1,2,4,2,2,4,14,0,1,0,9,0,1,1,1,0,0,1
5,0,58,1,0,0,0,1,0,1,0,4,0,2,1,0,0,1,0,13,74,4
0,0,16,0,1,2,3,1,4,1,0,0,1,6,2,0,3,1,0,3,0,1
0,0,0,0,0,0,0,2,5,1,0,0,0,0,10,1,5,0,12,1,2,2
1,0,2,6,1,2,0,1,0,0,0,0,5,2,0,6,0,1,1,9,2,0
0,0,4,1,4,1,1,4,2,0,2,2,0,6,0,4,0,0,1,0,1,0
1,15,2,0,2,3,3,5,4,1,0,0,2,0,0,11,1,2,239,0,0,7
9,3,0,2,1,4,0,5,2,1,1,1,0,0,0,0,1,8,1,1,0,0
0,0,6,7,1,0,3,10,0,0,2,11,3,2,1,0,0,3,2,1,3,10
1,0,3,9,0,1,16,0,2,2,1,3,0,2,7,1,1,1,1,3,1,0
2,2,17,2,8,0,0,0,1,7,11,2,0,3,1,3,1,0,1,0,1,162
0,2,5,1,0,0,25,1,5,1,0,0,0,0,0,0,6,2,0,0,0,0
2,4,0,1,0,20,1,0,4,3,0,1,2,2,0,2,1,2,8,7,1,0
0,2,1,2,0,0,2,2,0,1,0,3,0,1,0,0,1,1,0,0,4,2
0,2,2,0,3,3,3,0,2,0,8,4,2,0,1,0,1,0,0,8,15,2
0,1,1,1,0,4,2,1,5,3,2,1,3,26,48,6,1,0,3,10,0,0
0,2,1,2,1,0,2,2,0,5,4,4,0,6,2,6,1,9,2,0,0,0
9,0,0,4,4,1,0,0,0,3,0,1,1,2,0,0,1,5,0,1,1,1
1,2,3,9,5,5,0,12,2,3,3,1,6,0,0,0,3,2,0,6,0,1
4,1,5,3,7,6,0,1,4,5,6,8,129,3,0,0,3,0,0,2,4,0
0,0,0,5,2,0,2,1,11,2,2,0,1,3,1,0,2,0,0,1,3,6
1,1,20,1,2,0,0,31,3,1,4,7,0,0,3,1,1,3,7,1,0,2
30,0,0,5,14,1,0,1,29,28,1,4,0,1,16,0,1,7,0,2,0,1
2,4,0,17,0,56,0,2,0,1,1,4,9,0,0,7,0,4,0,0,0,4
0,1,2,1,9,4,0,5,0,0,0,19,0,0,0,4,1,6,4,0,0,1
9,2,0,0,1,1,26,0,1,1,8,4,7,7,2,0,0,0,5,5,2,10
3,0,2,0,28,2,0,0,0,6,1,3,1,2,5,2,1,1,0,0,4,3
2,4,12,2,0,4,32,1,1,0,3,0,7,7,0,4,1,0,29,11,1,1
0,1,11,0,2,6,6,0,1,4,3,0,2,1,2,0,1,5,10,1,0,0
6,2,1,0,4,1,0,0,2,0,0,3,4,0,1,5,2,4,0,2,1,12
0,0,3,13,0,1,1,0,0,0,2,3,1,2,0,0,0,3,1,1,6,1
0,6,4,0,0,2,0,0,5,1,0,1,5,6,3,0,8,0,4,2,0,1
1,1,0,2,3,0,13,2,2,0,0,0,1,2,1,1,2,0,5,4,3,0
5,0,0,0,2,0,0,0,2,0,0,0,4,0,2,2,0,5,0,0,0,1
2,2,1,2,1,2,0,1,0,1,0,28,2,0,8,3,4,1,1,1,0,0
5,0,0,3,0,3,9,0,9,1,0,2,2,1,0,0,2,3,1,0,0,1
0,2,0,1,0,0,1,0,2,0,2,1,2,1,0,1,1,1,0,0,1,0
3,1,0,1,1,4,1,0,4,1,0,3,0,1,1,2,4,1,4,2,0,5
0,1,3,5,0,0,3,1,2,4,1,0,1,0,3,0,3,0,0,5,2,3
3,2,0,2,5,1,4,1,3,0,6,4,0,0,2,0,6,0,1,8,8,0
1,1,0,4,7,1,17,2,0,5,0,1,0,3,2,1,0,0,1,2,3,1
0,0,0,10,6,2,3,3,2,1,1,4,8,14,10,1,0,7,12,2,2,0
8,5,0,2,1,1,0,2,1,16,3,0,13,1,0,0,0,8,7,0,0,0
1,0,0,1,0,2,4,0,0,0,0,1,3,3,2,1,7,2,0,0,1,0
1,0,4,3,8,1,1,1,1,7,2,0,0,2,0,1,2,77,0,0,3,14
1,2,0,12,6,4,1,1,0,10,2,2,1,0,0,3,1,0,1,2,0,5
3,0,4,2,2,3,4,1,2,1,0,11,1,2,3,2,9,0,2,2,5,1
0,11,2,0,1,1,0,0,5,1,1,1,2,10,7,6,2,2,2,0,0,2
5,0,3,8,0,0,3,0,0,1,8,4,0,0,0,1,22,0,21,1,0,1
1,0,0,84,0,0,1,4,1,1,3,3,1,0,4,0,4,0,1,1,5,1
1,8,0,0,6,1,21,1,2,1,1,2,2,2,0,1,0,0,0,14,1,1
1,0,2,3,4,1,2,1,19,0,0,0,1,0,0,0,0,0,0,2,2,2
36,2,1,1,0,2,1,1,4,0,1,0,0,2,1,16,2,2,1,2,2,0
2,3,0,0,1,3,1,2,1,2,0,2,0,0,0,0,0,2,0,17,16,2
0,2,4,3,3,2,2,1,0,0,2,9,1,2,2,1,6,10,0,0,3,2
31,3,2,5,0,0,13,0,1,3,0,1,0,16,0,17,3,2,0,4,0,3
6,1,0,4,1,3,0,0,0,1,4,25,9,7,0,0,0,3,6,0,1,6
2,6,14,2,0,0,1,0,4,0,0,2,0,9,0,0,8,0,0,0,0,0
0,1,0,4,4,1,4,1,0,0,1,0,0,0,4,0,2,1,0,2,0,3
4,1,3,1,0,1,0,0,0,1,1,4,0,1,1,4,0,14,1,0,2,2
4,7,0,0,0,0,13,0,2,5,0,2,1,0,0,1,0,9,12,0,1,2
0,1,17,5,22,0,3,4,0,2,3,2,26,2,0,1,0,3,1,0,0,51
0,3,7,1,0,2,0,0,0,1,0,0,1,6,1,0,0,1,0,0,4,2
4,2,26,18,1,2,0,0,0,5,4,0,1,4,3,1,0,1,0,8,4,2
3,2,0,4,1,2,3,0,0,3,73,0,7,0,3,1,1,0,0,0,0,3
0,0,0,5,10,27,3,2,3,40,32,19,2,1,2,0,0,2,0,3,0,8
0,3,0,0,0,2,3,0,3,0,2,0,3,14,0,1,0,24,1,5,0,1
3,40,0,0,0,0,0,1,3,4,0,1,2,7,2,3,2,0,0,1,0,2
1,2,2,10,1,0,2,3,8,10,17,0,0,3,5,0,11,0,5,0,0,1
0,5,0,6,1,1,3,0,1,4,3,2,1,3,2,3,7,1,4,1,2,2
0,10,2,15,2,1,0,2,2,9,0,0,2,2,0,4,3,0,0,0,2,0
0,19,0,1,7,8,5,2,0,0,0,0,3,50,1,1,1,4,2,0,3,2
4,1,2,0,2,4,0,1,2,4,0,0,1,0,0,0,0,0,0,5,1,0
0,2,0,4,63,31,2,2,2,0,2,13,2,2,16,3,6,0,11,1,2,4
0,0,7,0,0,0,0,1,3,0,1,0,3,6,5,1,0,1,4,0,0,1
1,3,5,7,3,6,2,0,2,0,2,1,0,0,4,5,0,2,1,0,0,0
0,1,0,3,1,4,1,6,6,2,1,0,0,6,2,1,4,1,18,4,0,0
17,3,1,1,2,0,11,1,10,2,19,0,0,1,0,1,4,0,2,2,3,0
0,1,16,1,0,1,0,1,0,2,3,0,0,0,16,0,13,0,0,3,0,2
3,4,2,0,14,1,0,6,22,1,0,0,2,2,0,4,0,3,7,7,0,0
0,2,0,0,16,0,1,33,0,0,11,3,1,0,0,0,0,2,0,1,1,8
14,0,4,0,5,1,0,6,0,2,6,2,0,0,0,1,0,0,1,2,2,0
10,13,2,0,0,0,0,3,0,1,6,0,0,3,0,8,2,9,7,1,0,1
0,3,2,7,4,1,3,0,3,3,0,0,0,4,5,0,3,6,0,4,1,0
3,0,6,0,1,1,3,2,6,5,4,0,2,1,2,1,2,0,6,1,1,2
2,0,0,0,0,26,1,3,3,1,2,6,0,6,1,73,0,2,2,2,4,2
1,0,1,1,1,1,0,0,1,2,1,0,0,4,0,1,0,0,4,2,0,0
1,0,0,2,13,0,0,0,0,0,2,1,3,0,0,2,0,1,116,0,0,2
11,0,0,0,0,20,0,1,0,20,0,1,8,8,2,0,1,0,0,0,18,2
0,3,1,0,8,1,1,1,0,0,1,2,47,5,0,2,0,2,3,0,2,5
1,3,0,0,35,0,1,1,1,4,0,4,4,0,3,0,2,2,5,3,0,1
0,2,4,3,7,0,6,0,2,3,0,0,7,1,2,1,0,0,2,0,2,0
0,0,2,3,3,3,0,2,1,2,6,0,1,2,0,1,1,1,3,3,6,4
2,10,0,106,3,2,2,5,0,3,8,0,4,6,0,1,4,15,0,5,2,0
