1,2,3,4,p
1,4,0,1,1
0,0,1,2,14
10,8,0,0,1
0,0,12,0,2
1,0,0,0,0
5,5,1,0,3
3,0,1,1,0
16,11,8,1,4
15,2,26,2,2
0,9,0,3,5
8,4,8,21,0
0,1,4,0,9
3,2,1,11,0
0,2,0,5,0
0,0,0,18,0
0,0,3,0,4
8,0,1,1,3
1,5,0,7,9
0,0,2,0,0
41,1,1,2,11
3,2,2,20,1
10,0,1,0,1
0,2,0,2,0
0,1,1,0,1
0,2,0,0,0
3,4,6,0,2
0,3,0,2,0
0,2,2,0,0
9,0,13,8,3
0,0,4,4,1
2,34,1,0,0
10,0,1,28,0
13,1121,1,11,2
0,0,0,0,3
1,3,7,4,0
1,1,0,14,2
0,26,2,1,2
12,1,0,1,0
0,0,4,1,6
0,16,0,4,2
3,5,2,7,1
3,1,0,68,0
0,0,1,1,11
1,2,0,5,1
3,1,1,1,38
4,3,1,0,3
4,0,3,0,4
1,0,0,0,3
0,10,5,0,15
1,53,1,2,0
1,1,9,3,0
2,7,0,7,1
7,2,7,3,1
4,2,1,2,0
3,0,14,1,15
0,0,1,9,0
1,0,0,4,0
10,0,27,0,1
0,8,1,19,0
0,0,0,0,0
0,4,6,9,2
0,5,13,0,1
7,9,8,0,4
1,0,0,1,3
0,71,3,7,12
2,0,2,3,16
20,1,44,0,1
0,3,2,16,0
0,1,5,0,2
3,1,4,0,9
0,0,0,1,4
98,0,3,2,9
1,0,0,1,0
0,0,4,0,0
1,1,0,1,2
0,1,0,1,21
0,0,0,0,9
11,1,3,1,2
7,5,0,0,2
14,2,0,0,0
1,0,12,70,3
2,51,0,8,2
2,0,26,0,5
0,4,1,2,0
3,1,1,59,0
0,2,3,5,25
3,5,1,1,8
0,1,1,1,17
2,0,0,26,5
11,4,5,7,0
18,0,4,5,24
1,0,0,19,0
1,0,0,0,0
0,2,0,0,4
1,7,0,1,16
12,3,0,0,2
5,1,1,44,0
0,3,0,2,5
28,2,1,4,0
0,1,1,3,0
0,0,1,5,1
0,1,0,2,0
11,0,3,46,0
0,0,0,0,3
3,1,0,4,4
1,1,1,0,56
2,0,2,2,0
8,2,2,1,1
0,0,0,0,1
0,0,1,1,1
6,20,1,6,53
12,0,0,0,0
2,7,3,65,0
2,13,0,0,1
2,0,0,2,1
1,0,2,1,1
0,0,0,0,1
4,44,1,1,10
3,0,0,0,1
30,3,2,0,2
3,0,0,10,0
0,5,3,1,2
1,1,1,0,4
0,1,1,0,2
4,0,1,0,0
0,0,0,4,0
0,2,1,0,0
2,1,8,3,1
1,1,3,4,10
0,0,3,41,0
10,1,9,5,0
8,0,2,1,1
20,0,0,0,29
0,0,2,0,0
0,42,2,0,40
1,3,6,2,61
13,1,1,1,5
1,5,60,1,3
10,8,7,11,15
0,53,1,0,0
0,0,27,0,4
22,0,4,5,4
2,7,1,1,6
2,2,2,1,0
1,2,2,2,6
5,3,0,0,1
0,7,6,0,8
22,4,21,1,97
3,8,0,3,3
8,3,4,4,0
0,1,5,0,0
0,0,0,2,0
0,0,2,12,6
1,6,2,0,4
0,0,0,0,378
0,1,0,16,1
9,0,0,5,0
0,3,1,1,5
0,5,0,0,1
1,2,76,0,7
0,1,107,1,2
3,0,6,2,1
3,0,0,0,1
0,3,3,0,5
20,2,2,3,1
2,0,6,2,1
0,0,9,1,1
0,0,11,8,2
2,0,0,5,45
11,0,2,48,0
0,3,0,0,0
4,0,0,8,0
2,4,0,1,1
3,0,6,0,0
2,0,1,1,1
0,0,2,1,10
1,3,0,3,41
0,1,0,0,2
8,1,4,11,5
1,2,1,0,1
1,10,4,4,7
2,19,8,18,13
0,0,0,0,2
0,0,4,0,1
23,0,1,7,9
0,6,0,0,0
0,6,0,4,0
0,166,0,1,0
2,1,3,2,0
3,0,5,1,0
27,1,0,1,2
0,0,1,1,4
0,1,0,10,3
1,1,2,0,7
1,0,45,0,0
0,4,3,0,3
0,1,3,6,1
4,0,90,2,0
0,2,5,1,6
20,4,0,2,1
1,0,9,0,0
1,19,2,0,0
0,4,3,0,0
2,3,0,3,1
0,57,0,0,0
0,3,12,4,2
0,3,0,1,4
0,0,0,4,0
7,1,1,1,6
5,1,3,1,0
4,1,1,0,2
1,0,8,5,0
3,5,0,3,0
24,0,14,5,2
1,0,2,0,3
0,8,0,10,3
4,1,2,0,2
2,73,5,9,4
7,16,0,0,0
2,0,5,2,1
0,5,61,1,1
2,0,0,1,5
0,2,1,0,0
0,0,1,0,0
0,0,8,0,16
0,11,26,0,2
0,8,124,0,5
1,7,0,1,0
0,1,1,1,7
0,9,0,7,21
1,1,1,2,0
6,0,33,0,1
180,13,0,1,2
0,3,2,3,0
0,0,14,0,0
12,0,4,1,0
1,535,1,0,6
0,1,4,0,3
1,2,7,4,4
0,8,0,0,0
3,0,0,0,1
12,0,0,1,1
0,0,0,0,17
2,0,1,2,21
0,9,4,0,8
2,1,9,0,0
1,9,0,76,0
1,0,14,0,1
0,0,3,6,4
3,0,67,12,0
0,10,5,0,4
0,1,1,5,7
3,0,2,1,0
0,0,21,0,1
9,6,3,0,0
0,422,1,2,0
1,1,0,0,0
0,1,0,2,15
0,3,1,2,5
77,16,8,1,0
0,1,1,1,0
0,3,25,1,4
0,0,4,0,3
0,1,19,4,5
0,3,0,4,4
0,0,0,0,0
52,2,5,4,41
3,0,59,3,1
4,0,4,3,13
2,1,2,8,15
0,1,27,2,0
0,0,0,7,4
1,0,1,0,2
2,7,20,0,19
5,0,45,2,4
1,0,2,0,8
1,0,3,11,0
6,2,0,7,4
0,28,0,0,0
0,3,0,1,0
2,0,2,0,0
1,0,39,2,0
5,2,0,0,2
2,3,0,1,1
1,2,12,1,0
5,57,0,2,4
3,17,8,0,0
0,1,0,1,0
1,1,2,10,9
0,0,2,0,55
7,11,3,1,0
0,2,4,0,2
0,0,0,0,0
3,1,5,13,0
0,3,0,9,2
9,1,0,3,1
0,7,0,2,5
1,0,3,16,5
0,2,20,10,1
0,0,0,1,1
0,0,3,2,4
0,1,0,7,5
3,3,0,8,0
2,3,1,3,2
3,8,0,0,0
1,0,35,21,0
0,4,1,2,7
0,6,0,2,4
10,1,14,1,4
4,1,8,0,0
43,0,1,12,47
0,3,2,1,1
0,0,7,2,1
0,0,0,0,0
0,2,0,0,14
2,2,2,1,4
0,5,0,1,10
1,6,0,2,2
4,1,0,1,1
0,2,1,0,10
0,10,1,81,0
3,0,28,1,55
2,0,3,0,3
6,80,0,1,0
4,0,0,0,1
2,0,2,294,2
0,0,1,70,0
0,0,5,0,0
2,10,0,9,3
0,0,6,0,1
3,0,5,2,15
118,8,0,46,1
2,0,2,13,2
1,28,0,0,0
3,8,0,0,1
3,9,9,0,0
0,0,2,2,0
0,0,0,0,2
0,5,3,1,2
0,1,95,2,7
13,0,0,0,1
1,0,2,0,1
6,0,0,19,4
14,2,2,0,0
1,0,0,0,2
0,36,15,0,0
0,1,2,7,0
0,4,10,0,0
1,0,0,1,1
1,3,0,1,4
14,1,3,5,1
0,5,1,4,16
9,83,2,0,5
2,0,21,2,0
0,7,1,5,0
0,0,4,3,14
278,0,7,118,2
3,1,1,16,2
0,0,1,0,25
0,5,42,0,7
0,2,2,3,1
1,12,0,16,5
0,3,1,1,0
0,3,1,1,8
1,2,0,0,0
22,1,2,1,0
7,0,144,0,0
15,2,8,37,0
2,11,1,5,0
11,0,4,0,0
1,1,0,1,0
1,3,3,0,6
0,12,2,3,1
1,0,4,0,0
1,0,1,19,0
94,3,0,36,1
0,0,0,3,0
3,0,10,2,0
9,0,26,1,0
0,18,2,0,0
8,0,25,0,0
2,1,0,0,0
2,1,4,3,0
10,0,0,1,0
0,1,0,3,3
12,4,5,2,0
3,1,85,3,0
1,1,0,2,9
35,0,1,1,4
3,24,2,7,6
0,10,0,6,1
0,2,0,5,8
0,1,1,13,4
0,2,0,1,1
0,3,0,1,0
0,16,0,0,15
1,2,0,0,14
0,6,9,30,18
6,0,68,743,6
6,1,0,1,0
1,2,1,6,2
0,0,0,0,0
14,0,1,32,0
6,0,0,4,0
1,0,152,0,5
559,1,0,2,0
0,4,7,6,0
2,0,0,6,3
1,4,9,0,0
5,0,4,2,0
0,0,0,1149,0
0,1,19,0,0
0,1,3,2,1
1,2,1,4,10
0,3,5,9,0
2,2,0,10,0
5,3,0,0,1
0,1,0,0,19
5,2,0,0,0
4,0,3,2,0
2,15,6,0,1
4,11,64,13,3
1,0,1,17,2
0,24,9,2,1
1,0,3,0,2
0,1,51,5,0
23,21,0,4,4
0,0,0,0,13
1,1,0,2,1
1,113,0,4,2
8,1,1,0,1
1,0,6,0,0
7,3,1,22,0
3,7,1,6,2
0,0,3,2,3
0,21,2,4,0
4,9,1,0,107
84,1,3,3,1
0,26,6,2,0
0,1,0,1,1
0,1,0,1,0
0,21,3,0,2
0,1,0,0,6
10,6,0,16,0
4,3,0,2,0
3,0,2,0,1
3,0,53,17,76
1,1,3,2,0
0,1,1,18,1
0,6,0,2,2
7,0,0,0,4
1,0,3,12,0
2,8,1,0,0
2,1,0,3,0
0,32,8,2,0
0,72,0,2,6
1,2,0,1,0
8,21,10,2,0
1,0,2,0,0
8,7,0,0,2
0,0,1,0,3
11,6,13,2,0
0,2,0,2,8
0,2,7,0,9
1,0,0,0,1
39,3,2,7,3
3,3,15,0,0
0,1,2,0,0
10,8,0,14,0
8,1,0,1,5
4,9,0,31,8
34,0,65,0,2
0,0,0,33,3
0,0,0,5,3
5,1,7,1,0
0,0,4,0,0
0,9,0,26,1
0,0,2,1,0
8,3,0,1,0
0,2,1,8,0
0,0,5,1,1
5,10,0,60,0
1,4,134,13,0
3,6,1,0,8
2,1,2,0,2
6,3,5,7,0
