1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
1,1,0,3,0,22,2,0,2,1,1,0,1,0,66,1,3,0,3,6,0,2
3,1,0,0,1,0,2,14,1,12,1,0,7,2,3,1,3,0,0,0,1,2
4,3,3,0,3,2,6,0,0,1,0,1,1,0,1,1,1,1,1,0,1,2
0,47,1,16,1,4,1,7,0,18,1,1,5,0,67,0,1,11,0,1,1,2
1,1,1,1,0,0,3,0,2,0,1,2,5,0,2,2,3,2,1,2,0,1
1,0,2,0,1,1,0,0,0,0,0,7,1,2,8,1,1,2,2,1,1,0
2,27,0,0,0,0,1,3,0,0,1,2,0,2,2,1,1,3,1,3,1,0
1,2,0,11,1,0,0,1,0,1,3,2,4,2,5,2,4,2,0,1,1,0
8,0,1,0,11,0,0,4,5,1,1,0,1,0,1,1,0,0,1,0,0,0
0,1,0,0,3,0,0,1,0,4,2,0,0,11,0,1,48,2,1,2,0,1
1,0,2,0,93,3,1,4,1,0,0,0,3,0,7,0,0,0,1,0,0,2
1,3,3,1,0,0,7,0,27,74,0,2,3,1,4,0,3,1,0,2,2,29
4,0,10,2,1,0,1,4,0,2,2,1,0,1,1,3,1,1,0,0,0,0
2,2,21,0,2,1,1,2,5,4,2,1,0,0,1,0,1,3,0,1,2,10
0,0,10,2,2,1,1,0,2,0,1,3,2,0,1,1,0,0,0,1,0,0
0,3,0,4,3,0,0,1,2,7,2,0,1,1,0,1,0,1,1,0,1,0
5,1,0,28,0,0,52,0,2,0,1,0,0,1,2,0,1,1,47,0,2,1
0,0,12,0,1,5,1,1,0,9,0,0,0,0,1,1,4,1,0,0,1,1
0,2,1,1,1,1,1,12,6,0,1,2,2,0,2,0,0,1,2,1,0,6
36,3,1,16,0,41,1,0,4,2,0,1,0,1,1,0,0,2,3,1,2,3
1,1,0,1,7,0,32,0,1,1,1,0,0,9,6,2,1,2,0,0,0,1
1,0,2,1,0,6,1,2,0,1,0,2,1,0,0,0,0,0,1,0,1,1
1,135,0,5,12,1,0,0,1,0,0,0,1,1,1,0,0,0,2,1,0,1
0,6,2,0,2,1,5,3,1,0,2,1,0,0,2,1,0,0,2,1,1,0
3,1,1,7,0,1,9,1,0,0,1,2,2,0,3,26,1,5,1,2,1,34
0,3,3,18,0,0,0,1,3,0,0,1,0,8,2,1,2,3,1,1,3,0
6,4,2,7,0,45,0,2,1,3,2,7,1,2,1,0,2,3,0,1,0,12
0,4,2,2,2,3,0,2,1,4,1,10,18,2,0,2,1,2,0,0,1,2
1,0,3,1,2,1,1,1,4,1,0,5,1,0,8,4,0,2,0,1,0,0
1,0,0,3,1,0,0,1,0,12,5,4,1,1,3,0,2,1,0,2,0,0
2,0,0,0,1,23,6,0,0,1,1,7,0,3,2,0,3,1,1,2,0,11
0,1,1,73,0,446,5,1,0,26,0,8,5,0,4,1,2,1,1,2,1,3
0,4,1,0,0,1,0,5,1,0,0,198,1,1,2,2,0,1,1,1,2,0
0,1,5,2,0,6,1,0,3,0,0,3,1,1,1,0,1,1,2,2,3,2
5,0,1,0,1,1,5,0,19,2,0,1,1,1,2,0,2,1,2,0,1,5
6,6,0,0,1,1,8,0,7,0,2,1,1,1,0,2,0,1,1,0,0,10
4,0,1,1,1,0,0,9,0,0,6,1,0,5,0,3,2,9,3,1,0,4
0,19,1,4,3,0,0,0,0,1,82,0,0,2,0,0,1,0,1,0,0,10
20,0,0,0,2,3,2,3,0,0,2,0,3,1,27,0,3,0,0,0,1,0
0,1,7,1,9,1,3,1,0,0,2,0,1,1,1,0,0,0,1,0,1,12
0,0,19,10,9,1,10,0,4,28,1,2,0,3,1,1,1,0,1,1,2,1
0,0,6,2,1,8,32,0,7,2,0,106,16,10,0,1,3,1,0,2,0,0
10,3,3,5,3,13,3,0,12,0,0,4,5,2,2,2,0,5,0,0,1,0
0,0,1,5,1,1,0,1,0,2,4,5,1,127,1,0,0,3,2,0,0,0
1,0,0,0,0,0,2,1,3,0,0,2,1,2,1,0,1,0,2,0,0,0
0,0,22,10,0,2,1,0,0,0,0,1,3,1,0,0,3,0,1,7,0,0
1,0,0,3,0,1,4,6,0,0,0,1,4,2,2,0,2,1,2,1,1,2
1,2,0,2,4,0,22,4,0,4,1,11,0,0,4,0,5,0,1,1,0,0
1,0,3,0,0,0,0,0,7,1,0,0,0,3,1,1,1,1,0,0,0,7
0,5,0,3,0,5,0,1,1,2,0,2,1,0,0,0,1,1,1,0,1,0
0,5,1,0,4,7,1,0,0,2,2,7,1,2,0,9,0,1,0,0,2,0
16,1,1,0,31,1,1,2,2,0,20,2,1,1,0,0,0,1,0,0,1,0
9,0,1,0,0,6,2,2,2,10,0,3,1,0,2,2,2,1,0,1,0,0
1,1,4,0,3,5,0,0,1,0,0,1,0,3,9,4,3,1,2,0,2,0
0,1,3,1,0,0,0,1,1,0,0,3,1,109,1,0,1,0,0,2,0,4
5,2,0,39,2,0,1,5,4,0,1,1,2,0,0,1,0,6,3,1,1,1
0,4,1,6,2,0,0,2,2,0,1,0,0,1,1,0,4,0,1,0,0,7
0,10,4,3,2,13,12,1,0,24,0,3,3,0,1,1,1,0,1,0,1,0
0,1,0,2,5,1,0,1,0,0,0,3,2,0,0,6,0,0,2,4,1,6
4,0,15,0,0,0,0,3,1,12,1,0,1,0,2,2,1,1,18,7,1,14
10,0,0,3,2,1,0,0,0,0,1,0,0,3,0,4,2,0,1,0,2,3
30,0,4,0,15,3,0,3,2,0,2,2,3,1,4,2,3,21,2,2,3,1
74,1,1,0,1,1,0,6,0,10,1,1,2,1,4,5,2,0,1,1,1,13
3,0,1,0,1,13,5,0,1,0,4,1,2,1,3,1,0,1,3,3,0,0
