1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
3,0,1,0,1,3,0,5,2,1,1,1,0,2,1,0,0,2,2,0,0,1,1,0,0,0,1
2,0,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
2,5,0,2,0,0,0,1,1,2,0,1,1,2,1,2,0,2,0,0,2,0,0,2,0,14,0
0,0,4,567,1,0,0,1,3,1,0,0,0,1,0,2,0,1,5,0,0,0,0,2,0,0,3
1,1,1,1,1,0,0,0,0,0,1,0,1,143,1,0,1,1,1,0,0,0,2,1,0,0,1
1,2,1,1,0,0,1,0,3,2,8,1,5,1,0,0,2,1,0,0,0,1,0,1,1,0,2
2,0,4,0,1,1,9,1,0,2,0,1,0,0,9,0,0,0,0,3,0,1,0,0,0,0,2
1,3,0,0,0,2,4,0,0,0,1,0,1,1,1,0,0,12,0,2,5,1,0,0,2,0,0
1,3,0,21,1,0,3,2,1,0,0,1,0,2,6,1,1,0,0,0,0,2,0,0,1,1,2
1,0,0,0,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,2,1,1,1,0,0,1,1
0,1,0,1,1,0,0,0,3,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,4,0,2
1,1,1,1,0,1,0,0,1,0,3,5,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0
1,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,3
1,2,1,0,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,4,0,1,0,2,20
15,0,0,3,0,1,1,0,1,1,1,2,0,51,0,1,1,0,0,0,1,2,0,0,1,1,1
1,0,2,2,2,1,0,7,0,0,1,0,2,0,0,2,0,0,1,2,0,0,1,0,0,0,0
5,0,0,2,0,16,0,0,1,1,1,1,21,1,1,0,0,1,2,0,0,0,0,0,2,0,5
1,1,2,1,1,1,1,0,1,1,2,2,46,0,1,0,0,1,0,1,1,0,0,0,0,1,6
0,2,0,1,0,0,1,4,1,2,1,0,1,0,0,0,0,105,1,0,2,1,2,0,1,0,1
0,0,1,3,1,0,1,1,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,27,0,1,1
1,4,2,1,3,0,0,0,0,0,1,0,0,2,123,1,2,1,1,0,1,0,0,0,0,8,3
0,2,0,3,0,1,1,1,0,0,0,8,1,0,4,0,1,1,0,0,0,13,1,0,1,0,0
0,1,0,1,1,1,0,0,1,1,0,0,1,2,0,1,1,0,1,0,2,0,0,0,0,0,78
1,3,0,1,0,0,1,2,2,0,2,1,0,0,0,0,0,17,0,0,1,0,1,1,0,0,1
1,0,1,0,0,2,1,3,2,4,21,2,1,0,0,1,2,0,0,0,0,0,0,1,1,0,5
1,0,1,1,2,1,0,0,1,0,0,0,0,1,8,0,0,0,0,1,8,1,0,0,0,1,0
1,0,5,0,1,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,1,12,0,0,0,0,3
