1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
0,1,1,0,0,1,1,1,0,0,1,1,2,0,0,0,2,1,1,0,1,3,1,2,2,3,10,1,1,5,2,4
2,1,0,3,0,0,4,3,0,1,0,2,1,1,0,4,0,3,0,0,0,1,3,0,1,1,0,0,1,1,1,4
1,1,0,1,2,1,0,1,0,4,1,0,0,1,0,4,1,0,1,0,5,1,0,3,0,1,0,1,3,1,1,1
2,2,0,1,0,1,0,1,9,3,1,1,2,0,3,0,7,1,2,0,1,0,0,4,1,0,1,0,1,0,1,1
0,1,0,2,0,0,1,0,0,1,1,2,4,1,0,2,0,3,2,2,0,0,0,1,0,0,1,1,1,0,1,12
1,1,2,1,0,0,0,2,1,0,1,1,0,0,1,1,0,0,1,2,1,1,1,0,1,0,0,0,1,1,1,0
3,1,2,2,1,0,2,6,3,1,2,1,0,1,1,1,2,1,0,1,2,1,2,1,1,0,0,3,1,0,2,13
0,1,1,2,1,1,3,1,1,9,0,2,11,1,1,1,0,1,14,2,1,0,0,1,2,2,2,1,1,0,1,0
0,0,1,0,1,0,1,2,1,4,2,1,0,22,2,0,1,1,0,0,1,1,3,21,0,0,1,1,0,0,2,0
0,0,1,1,0,0,0,3,2,0,0,3,1,1,0,3,1,4,0,1,2,0,2,0,0,1,2,0,2,0,0,1
0,0,1,0,3,1,0,0,0,1,0,0,1,1,2,0,0,1,2,1,1,1,1,1,2,1,0,0,0,1,1,0
1,0,0,0,1,1,2,0,4,0,0,5,5,0,3,0,0,0,0,3,1,0,2,0,1,2,0,37,1,2,1,1
1,2,2,0,2,0,1,1,3,3,3,0,1,1,0,1,2,0,1,0,0,1,1,0,2,0,1,0,0,2,1,12
0,0,2,1,1,0,0,1,1,1,0,1,1,2,0,0,0,1,0,0,0,1,1,1,1,0,0,0,2,2,0,10
2,1,1,0,0,1,2,1,1,0,1,1,1,1,0,3,1,0,0,4,2,1,1,0,0,3,10,0,2,3,0,1
1,1,0,0,1,1,2,1,0,4,0,0,0,1,1,0,3,1,2,1,0,3,0,2,1,3,0,2,0,0,0,5
0,2,0,2,0,0,1,1,3,1,0,1,1,2,0,0,0,0,21,1,2,1,0,0,0,0,1,1,0,0,3,0
