1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
0,23,0,0,0,0,259,46,0,28,0,20,0,2,0,5,7,6,4,1,1,2,2,0,1,0,0,2,0,4,1,0
1,0,7,20,20,0,45,15,1,0,16,2,0,2,0,0,0,2,3,1,1,0,0,1,1,0,1,0,1,1,2,3
0,1,2,2,2,0,5,3,1,2,0,1,1,1,3,0,1,0,1,4,0,1,1,0,1,0,0,2,3,0,0,6
0,0,0,8,1,0,1,0,0,5,0,0,2,1,3,1,1,5,0,0,3,0,0,2,4,3,4,1,1,2,0,0
0,0,3,2,0,1,1,1,1,13,2,7,1,3,2,1,0,4,0,2,16,0,1,0,0,1,1,2,0,1,0,0
0,0,0,0,1,0,0,2,1,7,0,0,0,4,1,1,1,0,0,0,5,0,0,1,1,2,1,1,0,2,0,0
0,0,2,1,0,0,19,7,38,1,0,5,2,0,1,2,314,2,2,3,0,1,0,0,0,3,2,1,0,1,3,0
0,0,5,1,5,0,5,0,0,5,0,3,0,0,0,0,11,0,0,2,0,0,8,0,3,1,0,0,0,1,0,0
4,1,2,3,0,1,7,1,0,3,0,0,0,1,0,1,1,0,2,3,0,1,1,2,0,2,3,0,3,3,2,4
0,0,0,7,8,0,3,1,4,0,2,4,1,3,1,2,0,0,16,2,2,2,2,1,0,2,2,0,3,0,2,0
66,40,1,11,0,0,8,0,1,45,0,0,0,0,5,1,1,0,0,0,1,0,0,0,2,1,5,1,2,1,0,0
45,1,0,2,0,0,1,0,0,1,0,1,1,0,4,1,2,3,6,0,1,0,1,3,0,0,2,1,0,6,1,10
7,3,0,9,1,6,0,1,12,0,1,1,1,4,34,0,2,0,1,2,6,1,1,1,1,2,0,1,0,1,1,1
0,9,5,1,38,0,1,1,2,1,2,2,1,1,0,0,1,2,1,1,3,3,0,2,1,1,1,2,0,1,0,10
0,1,0,0,0,3,5,2,0,1,0,0,0,0,0,1,1,1,3,1,3,2,2,1,29,0,1,3,0,1,0,1
1,11,1,0,0,3,1,0,1,1,3,6,0,1,1,1,2,1,1,0,1,3,0,0,23,0,1,1,2,1,2,1
6,3,2,1,0,1,0,9,4,0,2,1,2,2,2,12,38,1,1,1,2,0,1,0,3,0,3,0,2,1,0,13
2,2,0,8,3,0,7,2,1,1,0,0,2,0,0,0,0,0,1,1,1,3,2,1,2,1,1,1,1,0,0,0
