1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
5,86,5,0,4,3,0,0,0,5,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,6
0,2,0,0,1,1,2,1,1,0,1,3,1,0,0,0,3,1,1,2,0,12,4,3,3,0,3
0,0,0,1,2,8,0,3,1,2,0,3,1,2,10,0,0,0,9,3,0,27,1,1,2,0,1
2,1,3,0,14,0,5,0,1,1,0,0,2,0,1,0,1,0,0,0,2,7,0,3,0,2,0
1,0,1,3,0,6,0,2,0,1,1,0,0,19,0,1,0,1,1,2,4,0,0,1,0,0,0
0,3,0,1,0,6,1,1,6,4,0,0,5,5,0,0,2,0,0,1,2,1,1,0,2,2,0
0,1,2,0,1,1,0,4,2,2,1,0,5,10,22,0,3,0,1,2,0,0,0,1,0,2,2
2,1,1,1,4,0,3,0,3,1,0,0,5,2,1,2,2,0,0,2,0,0,1,2,0,0,2
1,15,1,0,2,6,4,2,1,1,0,0,26,2,3,2,0,2,0,4,0,0,0,2,0,0,3
1,1,0,1,0,2,0,0,0,2,1,0,1,1,0,0,2,0,0,2,1,2,0,0,1,0,0
0,2,0,0,0,1,3,360,6,2,9,2,2,1,0,0,19,3,3,1,1,1,3,4,0,30,0
4,0,2,0,0,13,0,1,2,0,0,0,1,0,45,2,0,1,1,347,0,0,0,1,0,0,2
3,0,0,0,3,0,2,0,0,2,1,104,0,3,0,3,46,0,11,7,0,0,0,1,0,2,2
0,1,6,3,0,2,4,1,0,1,2,1,0,0,8,2,2,2,1,2,1,1,0,4,4,0,0
1,0,1,1,6,0,2,3,2,2,1,1,0,3,17,0,1,1,1,0,1,1,0,1,2,2,1
0,18,1,4,2,0,1,2,21,0,1,0,2,7,0,0,0,1,1,0,10,0,146,1,0,0,1
2,1,8,0,5,0,1,0,0,2,6,1,10,1,0,0,1,0,0,0,0,1,0,2,2,1,0
1,19,1,1,1,0,7,2,1,5,1,2,2,1,2,1,1,0,1,0,0,4,1,1,0,3,0
3,0,0,0,4,0,0,2,1,1,3,0,0,26,1,1,0,5,2,2,0,2,2,3,0,0,2
1,1,24,2,1,1,1,1,1,1,1,2,1,1,0,2,1,0,2,0,0,0,1,4,0,2,0
2,0,1,1,0,10,1,1,1,2,0,2,1,1,0,1,0,0,2,2,0,0,0,30,5,0,0
1,0,3,1,4,0,0,0,2,0,1,2,2,1,2,1,0,0,0,1,0,1,6,0,0,0,0
0,1,0,1,1,10,3,25,0,2,0,3,73,0,0,0,0,0,2,40,3,3,1,17,2,2,0
4,3,0,1,5,0,3,0,3,0,0,0,0,4,0,1,2,0,1,2,1,1,1,2,55,2,1
0,0,1,1,1,0,4,0,1,1,0,0,1,1,1,0,1,0,1,1,4,1,1,0,0,118,12
1,19,1,0,0,1,5,2,0,1,1,0,1,0,1,1,0,0,0,0,8,0,1,2,1,3,3
0,2,0,6,2,0,0,0,2,0,1,0,0,0,1,2,1,1,0,0,1,4,12,1,7,0,0
8,2,2,1,7,2,5,0,3,8,2,8,0,2,1,0,0,1,0,2,0,0,2,1,1,0,6
1,0,0,1,1,0,1,0,28,0,6,1,3,0,0,1,0,1,3,2,1,0,2,1,2,1,0
2,1,0,0,1,3,0,1,2,0,4,0,0,0,6,0,0,1,0,1,3,1,2,1,0,0,4
1,0,0,11,1,0,0,2,0,0,1,14,4,15,2,3,1,0,0,1,1,0,1,0,0,17,0
0,16,2,17,1,0,1,1,1,7,0,6,10,3,0,2,0,5,3,0,4,0,4,1,0,1,6
1,0,3,0,1,1,1,4,2,0,0,2,0,25,0,2,0,5,0,0,1,1,0,0,1,0,8
1,0,1,0,59,3,0,2,3,1,2,0,0,5,0,1,1,0,0,0,0,2,0,0,35,2,1
2,2,0,8,0,1,0,3,0,0,1,2,537,1,2,2,3,14,1,5,0,0,0,1,1,0,0
1,2,2,1,0,0,1,3,0,0,0,0,0,0,1,0,3,0,0,2,2,2,0,1,0,1,1
1,0,2,1,1,0,0,1,7,0,0,57,2,1,9,0,0,0,0,2,0,0,0,0,2,1,6
3,1,1,2,3,47,1,2,0,0,5,1,0,1,3,0,0,0,1,0,2,0,0,0,1,3,0
1,1,0,1,1,0,4,0,0,0,3,3,0,0,0,1,5,2,1,2,0,4,3,0,0,0,3
3,2,0,1,0,1,0,0,0,0,0,0,3,5,0,1,3,1,0,1,2,0,0,1,0,2,0
