1,2,3,4,p
10,7,0,20,1
1,0,0,0,3
1,4,24,2,1
0,0,6,1,0
4,0,0,4,3
0,0,0,18,6
2,30,6,0,0
0,4,6,2,1
0,1,0,5,0
0,13,1,11,0
0,1,2,7,0
2,0,5,2,1
0,0,5,87,10
3,0,7,2,0
44,1,0,5,0
1,6,13,0,0
384,33,0,42,0
0,1,6,1,8
6,0,0,2,0
0,7,0,2,0
6,5,1,0,2
0,28,0,0,2
0,0,10,0,1
562,0,0,12,2
10,0,0,0,5
1,0,6,0,0
0,1,1,0,1
2,3,0,0,0
0,0,0,0,2
0,3,1,4,1
0,1,3,0,0
15,9,5,7,16
0,3,11,4,0
0,5,1,0,19
0,9,0,5,0
6,0,1,3,0
47,2,3,0,2
1,13,0,0,0
1,2,1,3,3
7,0,0,0,0
56,23,0,0,5
19,0,23,0,2
12,0,2,1,0
0,1,17,25,2
13,1,1,0,1
0,5,1,54,0
0,5,0,5,0
1,10,0,0,1
5,2,1,5,2
1,0,1,1,1
0,0,12,1,0
0,2,0,0,2
2,0,1,0,0
0,0,0,0,0
0,0,0,0,5
0,8,2,2,7
20,153,0,2,0
1,0,8,6,2
4,26,0,0,1
139,1,5,70,3
4,2,4,0,1
16,10,0,1,0
1,1,0,6,5
16,2,72,1,5
1,1,0,4,3
7,0,2,1,0
7,0,0,2,1
1,0,15,0,0
3,2,4,4,4
4,1,50,0,5
0,10,4,14,4
9,0,0,3,0
4,295,0,3,0
6,20,60,0,42
0,0,19,0,2
0,2,0,7,1
3,15,2,1,0
4,1,4,15,8
0,3,0,3,0
1,2,1,9,0
85,1,21,0,1
2,0,3,0,4
37,1,5,4,2
1,50,4,49,0
1,1,2,28,0
2,0,8,2,1
0,15,3,6,2
3,0,2,0,1
0,1,1,1,1
0,0,0,0,0
0,1,23,0,3
0,0,0,304,1
3,2,2,3,0
0,3,3,0,0
1,4,0,0,76
1,1,0,1,5
0,10,302,1,0
4,1,131,2,1
0,0,0,1,2
1,1,0,4,3
34,95,2,12,0
1,0,0,0,13
0,1,0,1,6
0,0,55,0,0
0,5,560,0,80
10,0,17,3,21
0,1,0,1,0
0,0,1,17,3
0,8,5,0,1
