1,2,3,4,p
1,0,0,0,0
8,2,0,5,0
0,22,0,1,2
0,4,0,2,6
3,1,1,17,4
0,1,0,5,5
5,0,0,0,3
0,0,0,3,0
6,0,0,1,1
2,0,1,1,9
0,2,2,2,0
1,2,0,6,0
1,0,5,1,1
1,0,13,0,0
1,0,4,2,139
0,5,0,1,0
5,1,2,42,5
2,2,1,3,0
0,0,2,24,5
17,1,0,0,1
0,41,0,2,0
0,1,1,0,364
5,4,0,5,0
1,4,2,0,0
4,6,0,0,1
3,0,0,23,3
7,2,0,0,1
6,1,2,3,0
2,1,2,9,1
9,2,5,1,0
0,0,0,3,0
11,0,1,3,2
0,0,0,1,1
4,1,3,0,0
3,0,7,2,4
7,0,1,0,2
1,3,0,2,19
1,1,2,0,1
3,6,0,8,0
1,1,7,0,6
10,0,0,0,9
2,2,6,0,16
0,6,0,1,2
43,0,0,4,9
0,1,2,1,15
1,3,0,0,1
3,4,1,1,3
0,38,4,3,1
0,1,3,1,1
14,2,5,4,4
6,1,7,1,6
0,0,0,8,0
0,1,0,2,2
2,5,1,1,1
6,0,2,0,1
3,5,5,38,2
1,1,8,2,5
9,0,3,0,11
0,3,1,2,10
0,3,2,1,0
1,0,2,1,5
0,0,0,0,2
2,1,0,0,45
0,0,0,0,2
2,0,12,2,0
2,3,0,0,8
2,1,0,3,14
1,0,3,1,1
3,0,0,3,3
0,8,1,5,0
0,0,1,1,5
1,0,7,0,3
0,35,1,4,4
0,0,0,2,0
1,3,0,0,0
2,0,1,8,4
8,1,17,0,0
0,1,0,0,2
14,0,0,1,1
0,3,0,0,1
6,11,5,1,0
5,3,4,1,0
2,0,3,0,5
1,0,30,1,0
9,1,3,0,10
3,3,0,1,100
0,4,0,0,1
2,3,2,4,0
3,5,0,2,1
0,5,4,3,0
12,0,0,0,2
0,2,46,0,1
11,2,0,1,4
5,1,0,1,1
1,6,2,1,0
14,12,0,3,11
2,1,3,2,3
1,1,9,8,2
0,12,0,3,0
25,7,1,4,2
2,0,0,0,15
23,0,3,7,7
0,2,0,0,0
2,10,0,3,2
0,0,0,1,0
6,1,2,2,3
1,13,0,1,1
1,0,1,2,0
2,23,0,3,0
14,1,0,3,5
0,2,11,1,2
3,0,1,1,11
6,3,0,40,2
26,0,1,0,1
10,2,2,1,0
0,1,2,1,0
8,2,0,0,0
0,0,1,0,0
0,0,9,0,0
2,14,0,1,1
1,0,1,9,3
0,0,0,0,2
2,10,0,0,8
2,5,2,4,37
3,3,5,0,0
21,0,2,0,23
0,4,4,2,2
1,1,13,0,16
0,23,0,3,5
6,38,1,0,4
3,4,1,0,1
0,3,0,3,0
2,2,0,0,1
8,0,1,0,0
1,0,1,1,2
5,3,1,0,0
1,0,0,3,2
6,1,2,2,0
107,0,3,0,2
1,6,1,4,0
5,0,4,3,37
0,0,1,1,3
0,1,0,5,6
61,0,2,0,0
8,0,2,5,0
0,0,1,13,168
1,0,0,2,1
3,2,1,6,11
1,2,3,1,0
1,0,0,0,0
2,3,2,4,33
4,1,5,0,0
0,2,3,2,0
0,1,16,0,0
0,0,4,1,1
10,1,3,14,1
0,2,6,3,14
2,0,2,1,0
0,4,10,0,5
1,0,15,1,0
0,1,0,0,0
2,0,6,1,0
0,3,2,1,3
1,0,8,0,4
1,1,1,5,2
0,4,0,15,1
6,0,2,27,0
0,1,2,0,9
0,4,1,1,0
1,10,1,0,0
2,2,0,0,1
0,0,1,1,0
2,6,5,6,67
3,1,48,0,81
1,0,0,1,1
10,1,0,0,4
5,0,3,1,2
15,0,5,4,13
4,1,0,0,0
10,0,3,0,3
2,2,8,22,0
0,1,5,4,0
1,109,13,0,2
0,1,0,48,1
7,1,4,3,3
1,6,7,14,4
0,0,3,2,1
9,0,0,7,1
4,0,2,0,0
2,0,3,5,3
0,6,0,0,1
3,1,0,0,1
1,0,4,1,1
4,1,0,0,362
9,7,0,1,37
6,15,1,1,2
1,9,6,0,0
0,12,6,3,0
1,1,0,0,189
0,14,0,5,20
0,0,0,0,3430
4,2,1,0,0
10,1,0,6,1
2,0,5,8,5
1,5,0,1,136
2,12,0,4,2
13,5,1,8,13
0,5,1,1,6
2,0,0,0,0
3,18,1,0,2
0,2,0,9,9
0,0,1,1,7
0,1,0,7,0
1,0,6,0,33
11,0,0,0,0
21,13,6,30,1
0,4,0,0,2
3,0,2,2,3
2,0,0,0,0
1,1,3,0,0
0,1,1,2,0
0,0,0,0,0
1,6,1,3,0
4,16,0,52,1
24,0,1,2,1
0,6,0,0,2
1,0,0,2,0
0,0,0,0,0
2,1,0,0,3
1,1,0,8,22
3,0,0,1,32
0,1,0,1,0
1,0,1,4,0
2,4,0,0,0
1,6,2,0,0
1,0,0,22,19
0,0,0,0,1
8,4,0,3,5
7,1,5,0,1
0,0,0,0,2
0,0,3,4,0
5,0,0,0,0
4,3,1,0,0
0,6,0,1,6
1,6,11,2,0
1,2,2,1,1
1,0,0,1,1
9,1,0,3,1
4,2,0,77,0
0,0,0,5,3
2,17,1,2,18
10,0,1,2,2
4,16,2,0,0
1,2,0,0,9
8,17,0,9,2
1,0,1,0,2
0,3,0,0,117
0,1,0,0,1
2,0,1,17,6
2,7,3,0,2
0,0,1,0,1
0,3,0,1,1
0,0,5,3,16
0,0,1,10,0
2,0,3,0,0
7,5,0,0,0
0,0,0,0,3
0,3,3,1,1
1,1,3,0,29
4,2,4,1,0
0,1,0,2,0
0,0,0,0,1
1,2,6,2,0
0,0,0,0,1
3,1,2,0,1
0,1,0,2,1
1,3,0,0,1
8,4,1,9,0
12,4,16,1,1
6,1,1,1,1
2,0,3,0,1
2,1,1,0,3
1,2,5,3,0
5,0,0,0,3
26,2,0,0,2
0,3,1,4,1
0,1,2,1,3
0,1,3,6,0
0,3,0,4,3
3,0,0,1,1
0,2,2,0,12
5,6,0,6,0
1,0,1,0,1
0,1,20,1,0
10,4,2,1,2
4,112,10,0,0
5,1,0,0,8
0,1,3,0,55
7,1,0,0,2
0,3,0,3,0
0,2,0,2,0
0,1,2,2,0
0,2,12,0,0
11,2,8,1,0
2,0,0,5,0
0,6,0,3,1
0,4,4,0,0
0,0,1,1,0
0,0,2,1,1
2,4,0,0,0
3,0,0,0,16
4,5,0,0,0
1,1,0,0,2
0,5,0,12,2
2,4,1,7,0
7,8,6,1,3
0,0,1,0,49
5,0,5,1,1
2,4,1,1,0
4,0,7,1,5
0,3,1,0,0
0,5,15,0,3
1,1,0,0,0
2,0,0,1,26
3,3,2,1,1
2,1,2,1,0
0,2,1,1,1
93,1,0,0,3
9,1,4,24,8
2,1,4,5,2
1,2,0,0,3
1,1,2,1,2
0,3,0,4,54
0,0,0,1,2
0,1,1,0,0
37,7,0,0,0
0,0,4,1,2
0,4,1,4,0
11,41,0,10,25
2,1,0,1,34
0,1,2,1,5
0,5,0,3,1
2,0,2,0,3
1,6,0,104,2
0,5,2,2,0
3,1,0,10,2
1,1,0,2,0
5,0,0,1,1
0,2,4,0,2
5,1,3,0,0
4,2,0,1,1
3,0,4,3,0
1,0,0,1,0
1,6,0,8,1
1,0,3,3,3
7,0,0,8,0
9,0,0,0,0
0,1,17,0,2
0,2,3,4,0
6,5,1,1,0
0,0,2,3,2
3,0,3,0,0
2,1,15,0,1
12,0,14,32,3
0,1,2,2,2
3,0,2,1,0
2,0,0,0,2
4,12,8,11,1
1,2,7,57,1
0,0,2,6,0
1,2,0,4,8
0,1,2,0,4
0,0,1,5,2
4,0,0,1,0
0,0,6,0,0
0,0,0,3,0
1,0,2,8,0
0,2,0,1,1
2,7,3,3,0
26,1,7,14,1
0,0,5,1,18
0,1,0,1,1
208,60,2,11,10
4,4,3,0,2
0,0,8,2,1
4,2,2,0,2
0,0,0,1,4
1,1,15,0,1
2,0,3,1,0
5,0,0,6,1
0,1,6,4,3
4,1,0,2,1
1,0,0,1,3
0,2,2,0,0
0,1,1,3,1
35,6,0,0,1
2,2,1,0,31
2,2,1,1,1
1,6,0,0,1
1,0,8,3,1
8,0,0,1,0
0,2,0,1,3
4,1,1,32,3
0,94,0,1,2
3,1,0,0,0
0,1,0,0,0
1,0,0,1,0
40,0,10,0,1
2,7,0,4,0
0,3,3,0,1
3,0,0,0,2
0,5,1,0,1
8,0,0,0,1
0,2,7,0,0
8,0,5,1,0
13,8,1,7,3
0,0,0,0,2
47,0,8,0,0
3,12,1,4,0
1,3,7,0,2
0,1,5,1,0
5,1,21,0,7
8,0,0,0,3
2,1,5,9,0
3,5,0,0,0
1,1,1,0,3
3,2,7,1,0
1,0,3,0,0
0,0,4,1,3
71,0,2,1,11
5,1,1,0,2
2,0,0,3,4
0,5,18,0,1
0,0,2,1,48
0,1,2,2,2
0,2,6,8,24
0,19,0,0,3
79,6,2,4,2
1,0,0,1,7
0,0,5,0,1
0,3,0,0,0
2,0,8,0,806
3,2,0,7,0
1,4,0,0,14
0,2,7,1,2
5,0,0,1,2
2,0,0,2,3
0,1,0,1,5
1,3,2,2,5
0,0,0,0,1
4,1,1,0,4
0,0,2,9,0
24,0,0,5,0
8,1,1,6,0
3,13,0,1,0
0,3,1,0,3
0,2,1,3,3
5,1,0,0,0
1,1,1,0,1
21,65,1,1,5
1,0,4,17,1
0,3,6,5,0
2,0,4,2,6
0,3,0,1,0
3,1,5,0,0
3,0,1,2,2
1,1,1,1,2
1,3,2,5,5
3,3,0,1,11
2,2,3,3,0
0,18,9,0,0
0,3,3,2,0
0,4,1,1,0
2,0,2,1,0
7,0,1,1,3
12,3,4,15,0
0,1,4,3,0
0,12,3,6,3
4,1,0,1,2
5,0,6,0,1
1,0,2,0,2
0,4,4,6,0
4,0,2,10,2
0,5,1,2,5
0,1,0,9,0
0,10,0,0,0
16,0,0,2,0
0,0,18,10,0
1,1,4,0,0
0,0,1,0,10
6,1,0,16,1
0,2,12,187,0
0,1,0,1,9
0,1,0,22,0
3,4,0,1,0
0,1,72,0,3
0,5,5,2,1
45,3,3,2,9
0,19,12,2,0
1,2,2,6,59
1,3,1,0,0
13,1,0,13,8
0,0,4,2,9
12,0,1,0,8
2,0,0,0,1
0,10,3,0,6
1,0,0,4,0
63,0,2,1,87
11,5,0,2,3
0,1,0,7,2
21,2,2,3,2
3,11,3,3,3
1065,3,2,1,6
45,5,2,0,4
0,2,12,0,1
0,1,0,0,0
1,5,8,0,0
0,1,0,0,1
0,166,0,0,9
0,1,1,0,28
0,2,0,11,1
0,1,0,31,13
0,6,2,1,5
19,0,0,0,1
1,0,3,0,2
0,0,0,0,3
6,0,0,0,0
0,0,1,2,2
0,4,3,5,1
0,2,10,11,0
8,0,7,3,9
0,0,0,0,3
24,1,0,0,3
8,0,2,0,0
0,3,0,0,1
1,0,0,15,3
3,29,1,0,0
0,0,4,0,3
2,2,1,1,2
0,1,1,4,12
1,1,6,2,1
15,0,13,3,0
1,2,4,3,1
0,13,0,0,3
0,1,0,0,0
1,11,0,0,0
0,1,11,1,0
0,0,4,4,0
5,1,2,0,0
0,0,1,3,0
