1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
1,0,0,0,8,6,2,1,0,23,2,2,2,7,8,1,1,1,0,1,0,0,0,1,1,0,0,0,3,0,2,0
1,4,1,2,2,7,1,0,4,3,0,0,3,1,0,0,3,3,14,0,1,2,0,1,1,2,0,0,0,1,0,5
5,2,0,11,1,2,2,0,0,3,4,1,3,14,7,1,0,3,0,0,1,2,0,1,1,0,0,2,1,2,0,0
2,1,0,1,0,0,1,8,0,2,3,1,6,1,6,7,1,2,4,0,1,0,1,2,0,1,2,1,3,0,0,7
0,0,0,1,0,1,2,8,1,0,5,1,1,2,3,6,0,0,0,0,1,1,0,12,0,0,1,1,1,0,2,2
1,0,0,0,0,0,0,0,3,0,0,0,1,0,4,0,2,18,0,2,9,7,0,0,1,91,1,2,1,0,2,0
1,0,16,0,2,3,1,0,13,0,1,2,0,0,1,0,0,1,6,0,0,1,0,17,3,0,1,1,2,3,2,2
1,9,0,0,0,0,1,0,2,0,0,0,1,2,0,4,3,2,1,2,3,0,1,1,0,0,2,0,1,0,0,1
0,0,5,2,2,2,0,9,7,0,0,1,0,0,1,0,6,1,1,1,22,1,0,0,8,0,0,3,2,1,0,3
3,1,0,1,11,1,1,6,0,0,47,1,11,1,0,4,0,1,0,0,0,1,2,2,1,0,3,1,0,3,0,4
1,0,2,0,1,1,10,9,0,34,0,0,1,41,0,0,0,1,0,1,3,1,3,0,1,0,4,0,1,1,3,0
0,0,0,3,3,0,2,3,2,2,0,0,0,6,4,12,2,0,2,14,8,33,1,1,1,1,0,3,0,3,3,1
0,1,0,0,1,1,0,1,1,27,2,0,3,6,0,0,0,1,0,1,6,0,0,2,0,2,2,0,1,1,3,3
11,20,2,4,9,11,0,2,1,27,0,0,1,1,0,11,1,0,0,0,3,11,1,0,1,0,1,1,2,1,1,3
0,0,0,4,0,15,3,2,2,0,2,9,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,2,1,0
0,3,0,0,6,3,248,5,0,10,4,0,0,1,2,0,2,1,3,1,307,2,9,0,0,2,2,0,1,0,0,13
