1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
13,0,0,1,6,0,1,5,36,0,0,0,0,2,6,0,1,61,13,2,0,0
6,6,3,16,0,2,2,5,0,1,0,0,808,2,1,0,1,0,1,9,0,22
6,0,0,5,2,0,0,1,5,3,11,0,0,6,1,1,0,22,1,0,2,2
0,1,6,1,4,2,1,11,8,5,1,0,0,0,4,3,0,4,1,3,0,0
0,0,1,1,0,15,0,1,0,0,0,4,2,0,2,18,0,4,2,1,17,3
0,2,0,0,0,12,0,3,0,3,0,1,0,1,13,0,1,0,3,1,10,1
0,0,0,1,1,1,1,4,4,6,3,0,0,32,0,4,4,1,2,0,0,0
2,0,1,1,0,0,14,0,3,24,2,0,136,0,3,6,4,0,6,10,6,0
1,5,1,11,31,17,0,3,7,0,0,4,4,0,2,0,2,31,0,4,6,3
1,6,4,3,9,4,3,2,0,2,0,1,0,6,1,0,0,0,3,1,1,17
0,1,0,0,0,0,0,1,0,23,0,2,8,4,4,5,1,0,1,0,1,1
5,0,11,0,0,5,1,5,1,3,1,0,1,5,5,0,0,0,2,1,0,7
67,1,0,1,0,8,0,6,0,5,0,0,0,2,12,5,0,0,0,1,0,2
1,2,1,53,12,107,3,0,14,2,4,0,0,0,2,1,0,4,5,0,1,0
0,1,0,0,6,2,1,1,6,7,0,12,0,0,0,0,0,3,0,1,2,0
0,1,1,70,5,0,0,2,0,1,12,2,0,4,2,13,0,2,2,1,24,0
0,1,1,0,13,1,1,13,1,16,2,0,0,15,0,2,3,12,0,3,1,1
0,2,0,7,0,20,0,0,0,1,0,2,9,0,6,1,1,2,3,3,0,0
25,13,12,13,2,0,1,2,1,0,1,0,0,0,3,0,4,0,0,0,3,2
1,5,1,7,0,3,7,0,1,40,0,2,12,0,1,0,0,18,0,3,2,42
1,8,1,3,0,4,1,25,0,0,10,1,7,1,0,9,1,6,2,1,0,11
11,13,3,4,0,4,5,4,5,8,0,13,2,3,0,2,4,0,2,0,0,3
1,2,46,1,0,0,3,8,11,0,0,0,4,0,6,0,0,7,0,5,2,6
3,7,1,6,0,19,2,2,0,0,0,3,0,0,2,0,0,0,0,1,11,0
0,0,0,0,0,0,0,2,0,2,0,6,0,3,2,2,3,19,6,5,0,0
0,5,25,2,0,2,66,1,0,14,1,0,5,3,3,1,21,2,0,44,0,1
2,5,19,7,11,8,1,0,4,6,2,4,0,0,0,0,1,4,5,6,0,1
4,6,0,2,1,0,1,34,0,5,0,4,3,1,0,2,0,1,0,1,2,0
0,0,0,0,0,4,4,16,1,272,0,0,8,6,1,2,1,0,0,0,0,2
0,0,1,0,12,0,3,0,2,1,4,0,20,0,4,4,0,3,1,13,5,1
2,15,0,0,3,85,0,0,1,2,27,2,10,2,0,3,1,6,0,0,1,0
0,1,6,1,12,1,0,1,1,25,2,1,0,5,15,2,16,0,1,6,0,0
96,0,4,20,0,1,28,0,0,1,0,1,119,4,2,1,1,1,10,1,1,1
0,0,16,9,2,1,5,0,0,1,2,0,3,6,1,0,2,0,5,3,0,3
4,4,9,3,0,102,0,2,0,0,11,0,0,0,1,2,1,71,0,0,2,2
0,0,0,4,4,0,3,12,1,9,0,5,2,1,0,0,0,2,0,1,0,1
0,1,18,96,1051,4,1,0,0,0,0,0,86,0,17,1,1,0,1,0,0,2
3,1,0,1,2,4,3,3,1,0,2,7,0,3,2,1,1,3,2,0,0,51
4,0,8,1,4,48,2,1,2,0,0,1,0,13,5,3,5,2,0,3,0,1
0,0,0,18,0,2,0,4,1,2,2,1,0,3,230,1,0,2,1,5,0,1
2,0,6,6,14,77,1,0,5,0,0,4,0,1,6,20,1,3,2,1,3,0
2,7,8,0,0,0,2,1,2,0,3,5,0,2,7,4,0,3,0,51,1,2
6,0,0,224,4,6,0,0,2,11,291,0,1,1,0,4,0,1,0,0,0,1
4,3,2,183,0,5,2,6,1,0,1,0,2,0,0,0,0,0,1,5,1,0
0,0,6,2,0,0,0,2,2,1,0,1,4,95,0,2,3,4,2,2,0,0
5,8,3,13,0,0,0,0,5,1,0,1,3,5,1,3,8,4,2,3,2,0
3,0,1,32,2,4,1,15,0,0,1,19,2,0,10,0,5,1,3,15,28,0
12,19,14,2,3,5,0,0,0,0,1,0,4,1,72,0,1,9,1,0,1,2
0,1,19,0,2,0,3,31,8,2,5,9,22,3,1,1,0,1,10,0,13,46
0,3,4,9,5,4,0,8,4,1,1,0,4,2,4,2,3,0,0,3,1,1
0,2,1,0,12,1,3,1,0,440,181,4,2,0,94,1,6,0,1,2,0,3
4,2,1,1,1,18,39,0,6,0,1,4,0,0,1,2,1,1,17,4,17,6
4,1,0,4,11,1,4,0,0,5,0,0,2,0,2,0,0,1,4,0,1,0
2,4,8,6,12,1,70,0,134,0,8,0,3,4,1,0,23,7,4,5,0,18
0,0,0,5,0,0,1,2,12,0,0,15,1,3,4,0,0,2,12,0,1,0
1,1,3,4,0,0,1,0,1,1,0,1,0,3,0,0,19,8,0,13,0,0
9,3,0,1,2,0,10,12,1,0,0,8,0,168,2,10,0,0,0,1,24,11
1,1,0,0,15,0,1,0,24,0,1,1,0,46,1,0,0,9,0,4,1,0
5,3,0,0,0,1,0,2,59,30,27,5,1,0,2,1,0,1,0,0,0,0
0,5,0,0,1,0,0,0,8,1,13,3,0,2,1,13,0,1,6,0,0,5
