1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0
0,1,2,0,2,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,1
1,0,2,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,66
1,0,0,0,1,0,0,7,1,0,0,0,0,1,2,0,1,1,0,1,0,1,0,0,0,0,2
0,0,2,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0
2,1,0,0,0,1,1,1,0,4,0,0,0,2,2,1,1,0,2,0,1,0,0,1,0,0,0
0,1,2,0,0,2,0,4,0,0,2,5,2,6,0,0,0,0,1,1,0,0,2,0,1,0,168
0,0,0,0,1,8,0,0,1,2,0,2,1,0,0,1,0,0,0,0,1,0,0,2,1,2,0
1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,5,1,1,2,0,0,0,0,0,0
0,0,0,1,1,0,3,0,2,0,0,0,1,2,0,1,0,1,1,0,1,1,0,0,0,1,0
3,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,1,1,1,0,0,1
1,0,1,1,0,1,1,0,2,1,0,0,0,1,1,0,1,1,0,7,0,0,0,0,0,0,0
1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,2,0,0,0,0,0,0,1,4,0,1,1,0,0,0,1,1,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,1,0,0,3,0,1,0,0,1,2,2,1,1,0,0,1,1,0
0,2,1,0,0,0,0,1,4,0,0,1,0,0,0,0,1,0,1,0,0,51,36,1,2,0,0
0,0,1,0,1,0,0,4,0,0,1,1,0,2,4,0,1,0,1,0,0,0,0,0,0,0,13
0,1,1,0,0,0,4,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,1,0
1,0,0,1,1,0,0,1,1,0,3,0,1,2,1,0,0,0,0,2,0,1,0,0,0,0,0
0,2,3,1,0,0,1,1,0,0,2,0,1,3,0,0,1,2,0,0,0,1,1,0,4,0,0
2,422,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,4
1,2,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,3,0,0,1,0,0
2,0,0,2,0,2,0,0,0,0,0,2,1,1,0,0,0,1,1,2,0,0,3,1,0,0,0
0,0,0,1,0,1,0,0,0,3,3,0,0,2,1,2,0,1,0,0,0,0,0,2,0,0,0
1,0,0,0,3,4,1,0,1,2,1,0,1,0,2,0,3,0,0,1,1,0,0,0,0,0,0
24,0,0,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6
0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,1,0,1,8,0,2,0,0,2,0,0,0,2,1,0,1,2,1,0,0,0,0,1,0
0,0,2,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,4
0,4,0,1,2,0,1,0,1,1,0,12,2,0,0,1,1,2,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,3,0,4,5,0,1,0,0
2,1,0,2,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,1,0,1,2,0,0,0,22
2,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
3,2,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1
0,1,4,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,2,3
0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1,0,0,2,0,0,0,0,1,0,2,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,10
1,1,1,0,1,2,2,1,1,1,0,1,0,0,0,2,4,0,0,0,1,1,0,1,1,1,0
1,0,1,0,2,6,1,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,41
0,2,0,1,6,0,3,1,1,1,0,15,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1
0,2,2,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,0,1,2,0,1,0
2,5,0,0,1,3,0,0,1,3,0,1,22,0,1,1,0,0,0,0,1,1,0,1,0,1,18
1,1,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
0,6,0,4,1,0,0,1,1,3,1,0,0,0,0,1,0,0,1,0,0,4,2,1,0,0,0
1,0,1,2,1,2,0,0,1,0,5,1,3,0,0,0,2,1,1,1,0,0,1,0,0,1,0
0,0,1,0,3,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,2,0,1,0,0,0,6
4,0,0,2,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,37
1,0,0,0,1,3,0,0,1,0,1,7,0,1,0,0,3,1,0,0,0,0,0,87,0,0,15
1,2,0,1,1,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,1,0,54,1,0,0,0
0,0,1,1,4,1,0,0,1,1,0,0,10,22,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1
0,0,1,0,0,0,0,0,0,1,1,0,1,6,3,3,0,1,0,0,0,0,1,0,0,1,4
0,1,1,2,0,1,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,8
2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,1,1,1,0,1
0,2,1,1,1,2,0,2,2,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,1,0,2
0,0,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,3,0,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,1,0,0,0
0,1,2,1,1,0,0,1,0,0,0,1,1,0,0,2,18,1,1,2,2,0,0,0,0,0,0
2,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,13,1,1
0,2,1,0,0,0,1,3,1,1,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,1,25
0,1,0,1,0,2,0,1,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,0,1,0,0
1,1,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,2,1,5,0,0
1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,240
0,0,0,1,49,1,0,0,3,19,0,0,4,0,1,2,0,1,0,0,2,0,0,0,0,0,3
1,0,1,0,0,2,0,1,1,0,1,0,0,0,0,1,0,5,2,0,1,2,0,1,0,0,7
0,0,1,0,0,0,2,2,2,1,2,2,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0
0,1,1,0,0,2,17,0,0,0,0,2,0,0,0,0,0,1,0,0,1,9,3,0,0,0,2
0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3
8,1,0,0,0,0,7,0,0,2,1,1,0,3,0,0,2,0,0,0,0,0,0,2,1,0,32
0,2,1,0,1,2,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
2,0,0,1,0,10,0,0,1,0,0,0,0,0,12,0,0,0,0,1,1,0,0,0,0,0,0
1,1,0,2,1,0,5,0,0,0,1,0,0,2,3,0,0,0,0,0,1,0,1,0,0,0,0
0,3,1,1,0,2,0,0,0,0,0,3,2,0,0,1,0,1,0,0,1,0,2,0,0,0,1
1,0,0,0,0,1,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,70,0,1,0
1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0
12,0,0,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,1,0,4,0,1,0,0,0,0
0,0,0,0,1,1,1,0,0,0,2,0,2,1,2,0,1,0,1,1,1,0,0,0,1,0,2
0,0,1,11,0,0,0,0,3,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0
0,1,0,0,0,17,0,1,0,0,2,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,34
